source_url,page_url,model,skill,mode,node_level,node_code,node_title,node_url,parent_code,parent_title,parent_url,level1_code,level1_title,level1_url,level2_code,level2_title,level2_url,level3_code,level3_title,level3_url,lineage,status,error_message
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,2,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,,供应链分类,,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,,,,供应链分类 > 电驱动系统,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,3,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,4,9425,控制板/驱动板,https://i.gasgoo.com/supplier/boom/c-9425.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > 控制板/驱动板,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9426,主控芯片,https://i.gasgoo.com/supplier/boom/c-9426.html,9425,控制板/驱动板,https://i.gasgoo.com/supplier/boom/c-9425.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > 控制板/驱动板 > 主控芯片,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9430,驱动芯片,https://i.gasgoo.com/supplier/boom/c-9430.html,9425,控制板/驱动板,https://i.gasgoo.com/supplier/boom/c-9425.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > 控制板/驱动板 > 驱动芯片,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9431,PCBA板,https://i.gasgoo.com/supplier/boom/c-9431.html,9425,控制板/驱动板,https://i.gasgoo.com/supplier/boom/c-9425.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > 控制板/驱动板 > PCBA板,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,4,9432,IGBT,https://i.gasgoo.com/supplier/boom/c-9432.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > IGBT,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9433,塑料盖,https://i.gasgoo.com/supplier/boom/c-9433.html,9432,IGBT,https://i.gasgoo.com/supplier/boom/c-9432.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > IGBT > 塑料盖,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9434,接线端子,https://i.gasgoo.com/supplier/boom/c-9434.html,9432,IGBT,https://i.gasgoo.com/supplier/boom/c-9432.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > IGBT > 接线端子,success,
https://i.gasgoo.com/supplier/boom/c-9423.html,https://i.gasgoo.com/supplier/boom/c-9423.html,gpt-5.4,web-access,full,5,9435,IGBT芯片,https://i.gasgoo.com/supplier/boom/c-9435.html,9432,IGBT,https://i.gasgoo.com/supplier/boom/c-9432.html,,供应链分类,,9423,电驱动系统,https://i.gasgoo.com/supplier/boom/c-9423.html,9424,电机控制器,https://i.gasgoo.com/supplier/boom/c-9424.html,供应链分类 > 电驱动系统 > 电机控制器 > IGBT > IGBT芯片,success,
