node_id,node_name,model,skill,source_url,list_page_url,detail_url,company_name,main_products,fit_export,quality_system,region,contact_action,status,error_message
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/article.html,资讯 - 中国汽车供应商网,,三资 供应商入口 网站地图 汽车OEM供应商专栏 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 首页 > 汽车OEM供应商专栏 OEM供应商 按OEM供应商查询 --> 按配套查询： 所有 其他企业 一汽集团 一汽红旗 一汽-大众 海马汽车 一汽奥迪 一汽丰田 东风汽车 东风日产 神龙汽车 江苏悦达起亚 东风本田 东风乘用车 东风柳汽 上汽集团 上汽大众 上汽通用五菱 上汽通用 上汽乘用车 奇瑞汽车 上汽大通 南京依维柯 北汽集团 北汽福田 北京奔驰 北京现代 北汽新能源 长安汽车 长安铃木 长安福特 长安马自达 广汽丰田 广汽本田 广汽三菱 广汽集团 广汽菲克 吉利汽车 比亚迪 华晨宝马 华晨汽车 东南汽车 力帆汽车 海南汽车 江铃汽车 庆铃汽车 重汽集团 上汽红岩 陕汽集团 北奔重汽 江淮汽车 郑州日产 长城汽车 沃尔沃 宇通客车 金龙客车 中通客车 安凯客车 小鹏汽车 威马汽车 蔚来汽车 理想汽车 广汽埃安 特斯拉 零跑汽车 赛力斯、问界 合众新能源、哪吒 极氪 岚图 智己 小米汽车 深蓝汽车 阿维塔 领克汽车 尊界 其他汽车生产企业 发动机主机厂 博世 大陆 宁德时代 华为 摩托车生产企业 按配套查询： 全部 一汽集团 一汽红旗 一汽-大众 海马汽车 一汽奥迪 一汽丰田 东风汽车 东风日产 神龙汽车 江苏悦达起亚 东风本田 东风乘用车 东风柳汽 上汽集团 上汽大众 上汽通用五菱 上汽通用 上汽乘用车 奇瑞汽车 上汽大通 南京依维柯 北汽集团 北汽福田 北京奔驰 北京现代 北汽新能源 长安汽车 长安福特 长安马自达 广汽丰田 广汽本田 广汽集团 吉利汽车 比亚迪 华晨宝马 江铃汽车 庆铃汽车 重汽集团 上汽红岩 陕汽集团 北奔重汽 江淮汽车 郑州日产 长城汽车 沃尔沃 宇通客车 金龙客车 中通客车 安凯客车 小鹏汽车 蔚来汽车 理想汽车 广汽埃安 特斯拉 零跑汽车 赛力斯、问界 合众新能源、哪吒 极氪 岚图 智己 其他汽车生产企业 发动机主机厂 博世 大陆 宁德时代 华为 摩托车生产企业 >>,ISO14068-1 碳中和认证 跻身储能电池行业绿色智造标杆 杰发科技：三款车规级MCU芯片通过国家级认证 助力国产汽车芯片规模化落地 比亚迪新能源汽车核心零部件产业园落户江苏常州，总投资约100亿元 长三角汽车科创基地项目在浙江开工 提供智能,江苏悦达起亚 东风本田 东风乘用车 东风柳汽,支架项目 2026/04/15 奇瑞集团镁合金导航屏支架垂直整合年度招标项目 2026/04/15 一汽丰田长春丰越分公司P2516_960D车型导入项目 2026/04/20 一汽丰田86※D保险杠注塑模具相关采购项目 2026/04/2,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/parts.php?cid=4,全部,"质量体系 地区 联系方式 日马精密锻压有限公司 --> 日马精密锻压有限公司 16949系列,ISO9000系列,VDA认证,ISO14000 天津 查看 / 收藏 主要产品：汽车减震器配件、安全部品、车载摄像头部品（ADAS） 配套：我司主要为一汽丰田,广汽丰田,广汽本田,东风本田,东风日产等配套汽车减震部品，为奥特立夫、均胜等企业配套安全带安全部品，为奇瑞、比亚迪、长安等提供ADAS车载摄像头相关部品 北京净油洁宝科技有限公司 --> 北京净油洁宝科技有限公司 三体系认证 北京 查看 / 收藏 主要产品：环保水基弱碱型脱脂剂 配套：中车南京浦镇车辆有限公司、中车唐山机车车辆有限公司在机车维",三资 供应商入口 网站地图 汽车OEM供应商专栏 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 首页 > 汽车OEM供应商专栏 OEM供应商 按OEM供应商查询 --> 按配套查询： 所有 其他企业 一汽集团 一汽红旗 一汽-大众 海马汽车 一汽奥迪 一汽丰田 东风汽车 东风日产 神龙汽车 江苏悦达起亚 东风本田,ISO9000系列 VDA认证 QS认证 ISO14000 OHSAS18001 IS,"联系方式 日马精密锻压有限公司 --> 日马精密锻压有限公司 16949系列,ISO9000系列,VDA认证,ISO14000 天津 查看 / 收藏 主要产品：汽车减震器配件、安全部品、车载摄像头部品","日马精密锻压有限公司 --> 日马精密锻压有限公司 16949系列,ISO9000系列,VDA认证,ISO14000 天津 查看 / 收藏 主要产品：汽车减震器配件、安全部品、车载摄像头部品（ADAS） 配套：我司主要为一汽丰田,广汽丰田,",success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,javascript:;,收藏,质量体系 地区 联系方式,,,,查看/收藏,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=80308,日马精密锻压有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,汽车减震器配件、安全部品、车载摄像头部品（ADAS） 配套：我司主要为一汽丰田,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 日马精密锻压有限公司 RIMA Precision Forming CO.,Ltd. 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产品 减振器 安全带 摄像头 全部产",ISO9000系列,天津 查看 / 收藏 主要产品：汽车减震器配,主要产品 减振器 安全带 摄像头 全部产品 汽车减震器配件、安全部品、车载摄像头部品（ADAS） 车载摄像头外壳 & 镜头座产品 车载摄像头外壳 & 镜头座产品 汽车减震器部品 安全部品 ADAS摄像头模组外壳 企业简介 --> --> -,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=73180,北京净油洁宝科技有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,环保水基弱碱型脱脂剂 配套：中车南京浦镇车辆有限公司、中车唐山机车车辆有限公司在机车维修中的油污清洗,三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 北京净油洁宝科技有限公司 BEIJING JINGYOU JIEBAO TECHNOLOGY CO.，LTD 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产品 清洁美,ISO90001质量管理、ISO14001环境管理、ISO45001职业健康”的认证，企业总部位于... 北京净油洁宝科技有限公司，是一家自主研发和生产新一代工业除油清洗剂的科技型企业,北京净油洁宝科技有限公司 --> 北京净油洁,主要产品 清洁美容护理用品 全部产品 环保水基弱碱型脱脂剂 净油1号-车辆高效型油脂污垢清洗剂 净油1号-汽车类通用型油脂污垢清洗剂 企业简介 --> --> --> --> --> --> 北京净油洁宝科技有限公司，是一家自主研发和生产新,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=47626,武汉元丰汽车电控系统股份有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,液压ABS系统、液压ESC系统、EHB系统、气压制动系统、EPB系统、iTPMS系统、ADAS系统 配套：为东风汽车、上汽通用五菱、福田汽车、长安汽车、江淮汽车、奇瑞汽车、长城汽车、吉利汽车、金龙汽车、郑州宇通、上汽大通、陕汽集团等配套,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 武汉元丰汽车电控系统股份有限公司 Wuhan Yuanfeng Automotive Electronic Control System Co., Ltd 收藏企业 首页 主要产品",IATF 16949、高新技术企业 湖北 查看 / 收藏 主要产品：液压ABS系统、液压,湖北 查看 / 收藏 主要产品：液压ABS系,主要产品 防抱死制动系统（ABS） 传感器 辅助驾驶 全部产品 液压ABS系统、液压ESC系统、EHB系统、气压制动系统、EPB系统、iTPMS系统、ADAS系统 气压制动系统 YFME9-ESC YCHB 24V-ABS YCHB 高级驾,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=50722,宁德时代新能源科技股份有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,动力电池、智能电池管理系统（BMS）、储能电池,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 宁德时代新能源科技股份有限公司 Ningde Times New Energy Technology Co., Ltd 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产",ISO 45001、ISO 27001、ISO 50001、IATF 16949、IS,福建 查看 / 收藏 主要产品：动力电池、智,主要产品 动力电池 全部产品 动力电池、智能电池管理系统（BMS）、储能电池，电池回收 特种应用解决方案 二轮车解决方案 工程机械解决方案 城市道路清洁解决方案 重载运输解决方案 城市配送解决方案 道路客运解决方案 混合动力私家车解决方案,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=50350,特来电新能源股份有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,新能源汽车充电网的建设、运营及互联网的增值服务 配套：与北汽新能源、长安汽车、东风电动汽车、宇通客车、金龙客车、海格客车、南京金龙、东南汽车、众泰汽车、江淮汽车等合作,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 特来电新能源股份有限公司 TeDian New Energy Co., Ltd 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产品 充电机 工业机器人 全部产品 新能源",ISO 45001 山东 查看 / 收藏 主要产品：新能源汽车充电网的建设、运营及互联,山东 查看 / 收藏 主要产品：新能源汽车充,主要产品 充电机 工业机器人 全部产品 新能源汽车充电网的建设、运营及互联网的增值服务 液冷直流充电终端 征程7kW交流充电桩 智动柔性充电弓系统 智动柔性充电机械手 特惠充 面向园区/小区的直流充电系统 智动柔性充电机器人 一体式欧标直流,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=47556,铁将军汽车电子股份有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,提供智能车身域控制器(BDC)及周边件,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 铁将军汽车电子股份有限公司 Iron General Automotive Electronics Co., Ltd 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产品",IATF 16949、高新技术企业 广东 查看 / 收藏 主要产品：提供智能车身域控制器,广东 查看 / 收藏 主要产品：提供智能车身,主要产品 传感器 汽车音响及多媒体 其他汽车电器件 车身域 辅助驾驶 V2X及车联网 其他车联网相关产品 全部产品 提供智能车身域控制器(BDC)及周边件，智能/蓝牙/超宽带(UWB)数字钥匙系统、驾驶辅助系统（TPMS/RPA/AVAS）,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/free.php?mid=50124,东睦新材料集团股份有限公司 - 汽车供应商网-全面展示中国最优质汽车供应商及汽车零部件供应商的汽车行业电子商务平台,以粉末压制成形（P&S）、软磁复合材料（SMC）、金属注射成形（MIM）三大新材料技术平台为基石,"三资 供应商入口 网站地图 供应商 资讯 产品 配套 出口 三资 --> 企业 产品 配套 出口 三资 --> 热门搜索： 齿轮 配套产品 供应商大会 --> 您当前所在的位置： 首页 > 免费供应商企业展示 --> 东睦新材料集团股份有限公司 Dongmu New Materials Group Co., Ltd 收藏企业 首页 主要产品 企业简介 新闻发布 联系方式 主要产品 气门及气门组件",IATF 16949、高新技术企业 浙江 查看 / 收藏 主要产品：以粉末压制成形（P&,浙江 查看 / 收藏 主要产品：以粉末压制成,主要产品 气门及气门组件 凸轮轴 变速器其他配件 减振器 转向泵 轴承和轴套 发动机齿轮及带轮 全部产品 以粉末压制成形（P&S）、软磁复合材料（SMC）、金属注射成形（MIM）三大新材料技术平台为基石，为新能源和高端制造提供粉末冶金新材料,success,
